name,img,url,piece_count,original_price,discount_price,discount_percentage
Country Life: Rene's Produce 1000 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4940/16159/079346126132_puzzle_1500__62372.1734533651.jpg?c=2,https://buffalogames.com/country-life-renes-produce-1000-piece-puzzle/,1000 Pieces,$17.99,$14.99,17% Off
Wood Puzzle: Charles Wysocki: Frederick the Literate-Whimsy Pieces 250 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4832/15667/079346042104_hero_2000px__68284.1729188864.jpg?c=2,https://buffalogames.com/wood-puzzle-charles-wysocki-frederick-the-literate-whimsy-pieces-250-piece-puzzle/,250 Pieces,$34.99,$28.00,20% Off
Josephine Wall: Spirit of Winter 1000 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4822/15613/079346121243_puzzle_1500__71534.1729543639.jpg?c=2,https://buffalogames.com/josephine-wall-spirit-of-winter-1000-piece-puzzle/,1000 Pieces,$17.99,$14.99,17% Off
Bonjour: Dove Lake 1000 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4746/15304/079346137046_front_1500__95049.1721507394.jpg?c=2,https://buffalogames.com/bonjour-dove-lake-1000-piece-puzzle/,1000 Pieces,$17.99,$14.99,17% Off
Ceaco Puzzle: Moonlight Over Manhattan 1000 Piece Puzzle (Silver Select: Giftable package with silver foil accents),https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4721/15205/81z6HvinDPL._AC_SL1500___63045.1718227827.jpg?c=2,https://buffalogames.com/ceaco-puzzle-moonlight-over-manhattan-1000-piece-puzzle-silver-select-giftable-package-with-silver-foil-accents/,1000 Pieces,$17.99,$14.99,17% Off
Eric Dowdle: Wild Africa 1000 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4711/15165/079346128235_puzzle_1500__28098.1717985640.jpg?c=2,https://buffalogames.com/eric-dowdle-wild-africa-1000-piece-puzzle/,1000 Pieces,$17.99,$14.99,17% Off
Charles Wysocki: Nantucket Breeze 1000 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4679/15033/079346133215_puzzle_1500__92067.1715288467.jpg?c=2,https://buffalogames.com/charles-wysocki-nantucket-breeze-1000-piece-puzzle/,1000 Pieces,$17.99,$14.40,20% Off
Star Wars - Grogu's Journey 2000 Piece Puzzle (Silver Select Edition - Giftable package with silver foil accents),https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4639/14871/079346045037_PUZ__07802.1711049377.jpg?c=2,https://buffalogames.com/star-wars-grogus-journey-2000-piece-puzzle-silver-select-edition-giftable-package-with-silver-foil-accents/,2000 Pieces,$22.99,$18.99,17% Off
Kim Norlien: Starry Night 1000 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4589/14690/079346139071_puzzle_1500__68145.1708044674.jpg?c=2,https://buffalogames.com/kim-norlien-starry-night-1000-piece-puzzle/,1000 Pieces,$17.99,$14.99,17% Off
Signature Collection: Flowers and Flyers 1000 Piece Puzzle,https://cdn11.bigcommerce.com/s-gyhhtwx4/images/stencil/300x300/products/4558/14563/079346014521_puzzle_1500__43025.1705293008.jpg?c=2,https://buffalogames.com/signature-collection-flowers-and-flyers-1000-piece-puzzle/,1000 Pieces,$17.99,$14.99,17% Off
